,Unnamed: 0,location,location-url,area,area-url,category,content,content-url,content-img,tableData,openHourData,priceData,facilityInfo,covidInfo
0,0,도쿄 도심부,https://www.gotokyo.org/kr/destinations/central-tokyo/index.html,긴자,https://www.gotokyo.org/kr/destinations/central-tokyo/ginza/index.html,아트・디자인,뮤지엄과 마술: 온 가족이 즐기는 도쿄의 액티비티,https://www.gotokyo.org/kr/new-and-now/new-and-trending/221003/topics.html,https://www.gotokyo.org/en/new-and-now/new-and-trending/221003/images/221003_main_400.jpg,"[{'head': '주소', 'data': '도쿄도 주오구 긴자 5-2-1 도큐 플라자 긴자 6F|'}, {'head': 'URL', 'data': '즈칸 뮤지엄 긴자(ENG)|https://zukan-museum.com/en/'}, {'head': '주소', 'data': '도쿄도 미나토구 다이바 1-6-1 덱스 도쿄 비치 씨사이드 몰 4F|'}, {'head': 'URL', 'data': '도쿄 트릭아트 미궁관(ENG)|https://www.trickart.info/english/index.html'}, {'head': '주소', 'data': '도쿄도 미나토구 아카사카 5-3-6|'}, {'head': 'URL', 'data': '해리 포터를 형상화한 아카사카 사카스의 거리 풍경(JPN)|https://innovation.tbs.co.jp/?world=worldport'}]",[],,[],[]
1,1,도쿄 도심부,https://www.gotokyo.org/kr/destinations/central-tokyo/index.html,긴자,https://www.gotokyo.org/kr/destinations/central-tokyo/ginza/index.html,아트・디자인,"음악, 아트, 식사를 오감으로 즐기는 긴자의 나이트 명소",https://www.gotokyo.org/kr/new-and-now/new-and-trending/190311/topics.html,https://www.gotokyo.org/en/new-and-now/new-and-trending/190311/images/190311_thum_400.jpg,"[{'head': '주소', 'data': '도쿄도 주오구 긴자 1-8-19 12F・RF|'}, {'head': '영업시간', 'data': '11:00-다음날 3:00\n금요일, 토요일, 공휴일 전날은 11:00-다음날 5:00|'}, {'head': '정기 휴무', 'data': '월요일|'}, {'head': '교통편', 'data': '유라쿠초선 ‘긴자 잇초메’역 9번 출구에서 도보 1분\n긴자선/마루노우치선/히비야선 ‘긴자’역 A13 출구에서 도보 6분|'}, {'head': '기타', 'data': '영업시간, 정기휴무, 요금 등의 최신정보는 공식 웹사이트에서 확인해 주십시오.|'}, {'head': 'URL', 'data': 'PLUSTOKYO (ENG)|https://plustyo.com/?lang=en'}]",[],,[],[]
2,2,도쿄 도심부,https://www.gotokyo.org/kr/destinations/central-tokyo/index.html,긴자,https://www.gotokyo.org/kr/destinations/central-tokyo/ginza/index.html,아트・디자인,긴자 그래픽 갤러리,https://www.gotokyo.org/kr/spot/186/index.html,https://www.gotokyo.org/kr/spot/186/images/4447_1_670x450_1.jpg,[],"['11：00～19：00\n월요일화요일수요일목요일금요일토요일', '휴무일: 일요일공휴일비정기 휴무\n*전시 교체 기간']","요금
무료","['화장실시설', '일본어영어', '휠체어용 경사로 있음엘리베이터휠체어 대응 엘리베이터다기능 화장실(누구나 사용 가능)휠체어 렌탈 서비스']","['입장 제한이 있는 경우 있음', '이 시설의 코로나19(COVID-19) 방역대책 관련 정보', 'https://www.dnpfcp.jp/CGI/gallery/news/detail.cgi?t=1&seq=0000650&y=2020']"
3,3,도쿄 도심부,https://www.gotokyo.org/kr/destinations/central-tokyo/index.html,긴자,https://www.gotokyo.org/kr/destinations/central-tokyo/ginza/index.html,아트・디자인,GINZA PLACE(긴자 플레이스),https://www.gotokyo.org/kr/spot/665/index.html,https://www.gotokyo.org/en/spot/665/images/665_0433_1_670x450.jpg,[],"['※점포, 시설, 층에 따라 다름', '휴무일: 비정기 휴무\n*1월 1일, 2월 3번째 화요일']",,"['화장실시설식사 시설인터넷 접속 가능', '일본어영어', '자동문 입구플로어 손잡이 있음(가동식 포함)에스컬레이터엘리베이터다기능 화장실(누구나 사용 가능)기저귀 교환대 있음']","['입장 제한이 있는 경우 있음', '도쿄도 감염 방지 철저 선언 스티커 등록 시설']"
4,4,도쿄 도심부,https://www.gotokyo.org/kr/destinations/central-tokyo/index.html,긴자,https://www.gotokyo.org/kr/destinations/central-tokyo/ginza/index.html,아트・디자인,시세이도 갤러리,https://www.gotokyo.org/kr/spot/125/index.html,https://www.gotokyo.org/en/spot/125/images/125_main_450.jpg,[],"['11：00～19：00\n화요일수요일목요일금요일토요일\n11：00～18：00\n일요일공휴일\n※정해진 영업시간은 없음(공원 등의 시설)', '휴무일: 월요일\n※ 전시 교체 기간']","요금
무료","['화장실시설인터넷 접속 가능', '엘리베이터다기능 화장실(누구나 사용 가능)']","['입장 제한이 있는 경우 있음', '도쿄도 감염 방지 철저 선언 스티커 등록 시설', '이 시설의 코로나19(COVID-19) 방역대책 관련 정보', 'https://gallery.shiseido.com/jp/access/hours/']"
5,5,도쿄 도심부,https://www.gotokyo.org/kr/destinations/central-tokyo/index.html,긴자,https://www.gotokyo.org/kr/destinations/central-tokyo/ginza/index.html,아트・디자인,GINZA SIX,https://www.gotokyo.org/kr/spot/260/index.html,https://www.gotokyo.org/en/spot/260/images/260_0206_1_670x450.jpg,[],"['10：30～20：30\n월요일화요일수요일목요일금요일토요일일요일공휴일\n11：00～23：00\n월요일화요일수요일목요일금요일토요일일요일공휴일\n※점포, 시설, 층에 따라 다름', '휴무일: 비정기 휴무']","요금
현금VISAJCBMASTERAMEX은련카드","['화장실시설식사 시설흡연소환금 가능주차장인터넷 접속 가능', '일본어영어', '일본어영어', '장애인용(휠체어 사양)주차장 있음자동문 입구휠체어용 경사로 있음에스컬레이터엘리베이터다기능 화장실(누구나 사용 가능)장루설치환자용(간이식)기저귀 교환대 있음휠체어 렌탈 서비스베이비카 렌탈 서비스 있음수유실 있음']","['입장 제한이 있는 경우 있음', '이 시설의 코로나19(COVID-19) 방역대책 관련 정보', 'https://ginza6.tokyo/news/76177']"
6,6,도쿄 도심부,https://www.gotokyo.org/kr/destinations/central-tokyo/index.html,긴자,https://www.gotokyo.org/kr/destinations/central-tokyo/ginza/index.html,아트・디자인,캐논 갤러리 긴자,https://www.gotokyo.org/kr/spot/703/index.html,https://www.gotokyo.org/kr/spot/703/images/703_0752_2_670x450.jpg,[],"['10：30～18：30\n월요일화요일수요일목요일금요일토요일\n※계절, 시기에 따라 다름', '휴무일: 일요일공휴일연말연시대형연휴\n*하절기 휴가']","요금
무료","['화장실시설', '자동문 입구휠체어용 경사로 있음다기능 화장실(누구나 사용 가능)기저귀 교환대 있음']",[]
7,7,도쿄 도심부,https://www.gotokyo.org/kr/destinations/central-tokyo/index.html,긴자,https://www.gotokyo.org/kr/destinations/central-tokyo/ginza/index.html,쇼핑,마로니에게이트 긴자1,https://www.gotokyo.org/kr/spot/467/index.html,https://www.gotokyo.org/en/spot/467/images/467_0329_2_670x450.jpg,[],"['11：00～21：00\n11：00～23：00\n※점포, 시설, 층에 따라 다름', '휴무일: 비정기 휴무\n*1월 1일 및 매년 2월 3번째 월요일']",,"['화장실시설식사 시설흡연소주차장인터넷 접속 가능', '장애인용(휠체어 사양)주차장 있음자동문 입구에스컬레이터엘리베이터다기능 화장실(누구나 사용 가능)손잡이 설치 화장실기저귀 교환대 있음유아고정의자 또는 유아용 의자 있음수유실 있음']","['도쿄도 감염 방지 철저 선언 스티커 등록 시설', '이 시설의 코로나19(COVID-19) 방역대책 관련 정보', 'https://www.marronniergate.com/topic/detail/151']"
8,8,도쿄 도심부,https://www.gotokyo.org/kr/destinations/central-tokyo/index.html,긴자,https://www.gotokyo.org/kr/destinations/central-tokyo/ginza/index.html,쇼핑,기간 한정으로 긴자에 최신 입체공원이 출현!,https://www.gotokyo.org/kr/new-and-now/new-and-trending/180910/topics.html,https://www.gotokyo.org/kr/new-and-now/new-and-trending/180910/images/180910_thum_1.jpg,"[{'head': '주소', 'data': '도쿄도 주오구 긴자 5-3-1|'}, {'head': '영업시간', 'data': '5:00～24:30\n※지상부에서 긴자역 연결통로 방면의 개방 시간\n※영업시간은 점포에 따라 다릅니다.|'}, {'head': '정기 휴무', 'data': '1월 1일(예정)|'}, {'head': '교통편', 'data': '도쿄메트로 ‘긴자’역 B9번 출구와 직결, JR ‘유라쿠초’역 중앙 출구에서 도보 약 5분|'}, {'head': '기타', 'data': '영업시간, 정기휴무, 요금 등의 최신정보는 공식 웹사이트에서 확인해 주십시오.|'}, {'head': 'URL', 'data': 'Ginza Sony Park(ENG)|https://www.sonypark.com/ginza/'}]",[],,[],[]
9,9,도쿄 도심부,https://www.gotokyo.org/kr/destinations/central-tokyo/index.html,긴자,https://www.gotokyo.org/kr/destinations/central-tokyo/ginza/index.html,쇼핑,이토야,javascript:void(0);,https://www.gotokyo.org/_nopub/en/20191031_004/images/new04_670x450.jpg,,,,,
